ID,treatment,temp,block,date.hatch,date.died,timepoint.died,sacrifice,suc.ovp,date.3,bin,date.ovp,time.ovp,num.ovp,wasp.gen,date.4,timepoint.4,date.5,timepoint.5,date.wander,timepoint.wander,mass.wander,date.em,timepoint.em,instar.em,bled.em,num.em,num.coc,num.fail.spin,num.unem,load,time.T0,mass.T0,diet.cat.in.T0,diet.cont.in.T0,date.T1,time.T1,mass.T1,frass.T1,fed.T1,diet.cat.out.T0,diet.cont.out.T0,sacrifice.T1,diet.cat.in.T1,diet.cont.inT1,date.T2,time.T2,mass.T2,fed.T2,frass.T2,diet.cat.out.T1,diet.cont.out.T1,sacrifice.T2,diet.cat.in.T2,diet.cont.in.T2,date.T3,time.T3,mass.T3,frass.T3,fed.T3,diet.cat.out.T2,diet.cont.out.T2,sacrifice.T3,diet.cat.in.T3,diet.cont.in.T3,date.T4,time.T4,mass.T4,frass.T4,fed.T4,diet.cat.out.T3,diet.cont.out.T3,sacrifice.T4,diet.cat.in.T4,diet.cont.in.T4,date.T5,time.T5,mass.T5,frass.T5,fed.T5,diet.cat.out.T4,diet.cont.out.T4,sacrifice.T5,diet.cat.in.T5,diet.cont.in.T5,date.T6,time.T6,mass.T6,frass.T6,fed.T6,diet.cat.out.T5,diet.cont.out.T5,sacrifice.T6,diet.cat.in.T6,diet.cont.in.T6,date.T7,time.T7,mass.T7,frass.T7,fed.T7,diet.cat.out.T6,diet.cont.out.T6,sacrifice.T7,diet.cat.in.T7,diet.cont.in.T7,date.T8,time.T8,mass.T8,frass.T8,fed.T8,diet.cat.out.T7,diet.cont.out.T7,sacrifice.T8,diet.cat.in.T8,diet.cont.in.T8,date.T9,time.T9,mass.T9,frass.T9,fed.T9,diet.cat.out.T8,diet.cont.out.T8,sacrifice.T9,diet.cat.in.T9,diet.cont.in.T9,date.T10,time.T10,mass.T10,frass.T10,fed.T10,diet.cat.out.T9,diet.cont.out.T9,sacrifice.T10,diet.cat.in.T10,diet.cont.in.T10,date.T11,time.T11,mass.T11,frass.T11,fed.T11,diet.cat.out.T10,diet.cont.out.T10,sacrifice.T11,diet.cat.in.T11,diet.cont.in.T11,date.T12,time.T12,mass.T12,frass.T12,fed.T12,diet.cat.out.T11,diet.cont.out.T11,sacrifice.T12,diet.cat.in.T12,diet.cont.in.T12,date.T13,time.T13,mass.T13,frass.T13,fed.T13,diet.cat.out.T12,diet.cont.out.T12,sacrifice.T13,diet.cat.in.T13,diet.cont.in.T13,date.T14,time.T14,mass.T14,frass.T14,fed.T14,diet.cat.out.T13,diet.cont.out.T13,sacrifice.T14,diet.cat.in.T14,diet.cont.in.T14,date.T15,time.T15,mass.T15,frass.T15,fed.T15,diet.cat.out.T14,diet.cont.out.T14,sacrifice.T15,diet.cat.in.T15,diet.cont.in.T15,date.T16,time.T16,mass.T16,frass.T16,fed.T16,diet.cat.out.T15,diet.cont.out.T15,sacrifice.T16,diet.cat.in.T16,diet.cont.in.T16,date.T17,time.T17,mass.T17,frass.T17,fed.T17,diet.cat.out.T16,diet.cont.out.T16,sacrifice.T17,diet.cat.in.T17,diet.cont.in.T17,date.T18,time.T18,mass.T18,frass.T18,fed.T18,diet.cat.out.T17,diet.cont.out.T17,sacrifice.T18,diet.cat.in.T18,diet.cont.in.T18,date.T19,time.T19,mass.T19,frass.T19,fed.T19,diet.cat.out.T18,diet.cont.out.T18,sacrifice.T19,diet.cat.in.T19,diet.cont.in.T19,date.T20,time.T20,mass.T20,frass.T20,fed.T20,diet.cat.out.T19,diet.cont.out.T19,sacrifice.T20,diet.cat.in.T20,diet.cont.in.T20,date.T21,time.T21,mass.T21,frass.T21,fed.T21,diet.cat.out.T20,diet.cont.out.T20,sacrifice.T21,diet.cat.in.T21,diet.cont.in.T21,date.T22,time.T22,mass.T22,frass.T22,fed.T22,diet.cat.out.T21,diet.cont.out.T21,sacrifice.T22,diet.cat.in.T22,diet.cont.in.T22,date.T23,time.T23,mass.T23,frass.T23,fed.T23,diet.cat.out.T22,diet.cont.out.T22,sacrifice.T23,diet.cat.in.T23,diet.cont.in.T23,date.T24,time.T24,mass.T24,frass.T24,fed.T24,diet.cat.out.T23,diet.cont.out.T23,sacrifice.T24,diet.cat.in.T24,diet.cont.in.T24,date.T25,time.T25,mass.T25,frass.T25,fed.T25,diet.cat.out.T24,diet.cont.out.T24,sacrifice.T25,diet.cat.in.T25,diet.cont.in.T25,date.T26,time.T26,mass.T26,frass.T26,fed. T26,diet.cat.out.T25,diet.cont.out.T25,sacrifice.T26,diet.cat.in.T26,diet.cont.in.T26,date.T27,time.T27,mass.T27,frass.T27,fed.T27,diet.cat.out.T26,diet.cont.out.T26,sacrifice.T27,diet.cat.in.T27,diet.cont.in.T27,date.T28,time.T28,mass.T28,frass.T28,fed.T28,diet.cat.out.T27,diet.cont.out.T27,sacrifice.T28,diet.cat.in.T28,diet.cont.inT28,date.T29,time.T29,mass.T29,frass.T29,fed.T29,diet.cat.out.T28,diet cont.out.T28,sacrifice.T29,diet.cat.in.T29,diet.cont.in.T29,date.T30,time.T30,mass.T30,frass.T30,fed.T30,diet.cat.out.T29,diet.cont.out.T29,sacrifice.T30,diet.cat.in.T30,diet.cont.in.T30,date.T31,time.T31,mass.T31,frass.T31,fed.T31,diet.cat.out.T30,diet.cont.out.T30,sacrifice.T31,diet.cat.in.T31,diet.cont.in.T31,date.T32,time.T32,mass.T32,frass.T32,fed.T32,diet.cat.out.T31,diet.cont.out.T31,sacrifice.T32,diet.cat.in.T32,diet.cont.in.T32,date.T33,time.T33,mass.T33,frass.T33,fed.T33,diet.cat.out.T32,diet.cont.out.T32,sacrifice.T33,diet.cat.in.T33,diet.cont.in.T33,date.T34,time.T34,mass.T34,frass.T34,fed.T34,diet.cat.out.T34,diet.cont.out.T34,sacrifice.T34,diet.cat.in.T34,diet.cont.in.T34,date.T35,time.T35,mass.T35,frass.T35,fed.T35,diet.cat.out.T34,diet.cont.out.T34,sacfifice.T35,diet.cat.in.T35,diet.cont.in.T35,date.T36,time.T36,mass.T36,frass.T36,fed.T36,diet.cat.out.T35,diet.cont.out.T35,sacrifice.T36,diet.cat.in.T36,diet.cont.in.T36,date.T37,time.T37,mass.T37,frass.T37,fed.T37,diet.cat.out.T36,diet.cont.out.T36,sacrifice.T37,diet.cat.in.T37,diet.cont.in.T37,date.T38,time.T38,diet.cont.out.T37,comments
36,control,25,B,11/1/16,,,0,,11/6/16,5,,,,1,11/10/16,T8,11/15/16,T15,11/20/16,T20,11801.05,,,,,0,,,,0,10:38,64.8,587.5,484.41,11/6/2016,4:00,74.09,5.89,1,479.02,428.08,0,1090.11,592.84,11/7/16,10:40,71.18,0,0,903.72,463.65,0,424.62,432.78,11/7/16,5:31,86.05,3.15,1,317.15,360.98,0,1156.97,573.94,11/8/16,10:19,159.47,32.28,1,923.18,451.15,0,622.23,597.63,11/8/2016,4:42,189.39,13.74,1,503.81,536.62,0,1786.69,1602.19,11/9/16,9:45,245.14,31.17,1,1533.53,1449.52,0,1314.92,1959.17,11/9/16,3:24,241.97,1.37,1,1253.76,1897.94,0,1948.46,2434.73,11/10/16,9:21,235.41,0,0,1799.71,2269.26,0,1478.63,1919.05,11/10/16,4:03,232.94,0,0,1412.52,1850.13,0,1505.34,2683.08,11/11/16,9:39,459.08,49.37,1,1035.02,2482.62,0,1093.88,1090.04,11/11/16,2:45,449.76,0,0,1016.47,1012.53,0,1770.13,2316.68,11/12/16,10:19,992.51,133.81,1,780.85,2026.38,0,3270.28,2692.12,11/13,9:22,1186.47,40.35,1,2535.94,2251.81,0,7276.8,3489.02,11/14/16,11:35,1202.47,50.06,1,6687.35,3040.88,0,5012.2,6104.51,11/15/16,10:38,1542.83,40.3,1,4203.49,5683.05,0,5495.55,9335.74,11/16/16,9:30,2075.15,84.33,1,4457.48,8920.05,0,7668.75,9687.12,11/17/16,8:35,4530.12,478.48,1,4105.48,9014.16,0,5835.93,6718.44,11/18/16,8:34,7679.22,1580.04,1,131.46,5842.34,0,11520.08,8449.42,11/19/16,8:00,11154.66,2822.74,1,4362.75,7503.65,0,12189.46,8404.14,11/20/16,8:15,11801.05,,,,7707.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,control,25,B,11/1/16,,,0,,11/6/16,5,,,,1,11/9/16,T6,11/13/16,T13,11/19/16,T19,9653.04,,,,,0,,,,0,10:40,77.41,673.5,484.41,11/6/2016,4:04,88.32,1.94,1,594.91,428.08,0,1683.12,592.84,11/7/16,10:49,160.9,1,32.51,1395.52,463.65,0,466.56,432.78,11/7/16,5:24,202.13,11.9,1,334.17,360.98,0,1077.4,573.94,11/8/16,10:06,211.28,18.28,1,905.09,451.15,0,530.63,597.63,11/8/2016,4:21,208.41,0,0,469.42,536.62,0,1469.95,1602.19,11/9/16,10:10,308.53,23.57,1,1172.91,1449.52,0,1647.31,1959.17,11/9/16,3:33,361.36,18.82,1,1506.08,1897.94,0,1884.64,2434.73,11/10/16,9:17,702.15,58.73,1,1286.09,2269.26,0,805.23,1919.05,11/10/16,3:31,746.16,22.72,1,664.95,1850.13,0,1429.18,2683.08,11/11/16,9:31,947.23,43.41,1,999.48,2482.62,0,1199.89,1090.04,11/11/16,2:48,942.91,0,0,1118.15,1012.53,0,1920.25,2316.68,11/12/16,10:13,953.25,12.17,1,1538.54,2026.38,0,4170.84,2692.12,11/13/16,9:15,988.5,0,0,3707.28,2251.81,0,10302.36,3489.02,11/14/16,11:37,1035.76,13.01,1,9690.46,3040.88,0,8464.41,6104.51,11/15/16,10:36,1796.96,119.86,1,7004.77,5683.05,0,5381.07,9335.74,11/16/16,9:33,3765.23,526.74,1,2465.82,8920.05,0,7860.86,9687.12,11/17/16,8:38,6194.23,1928.03,1,3012.26,9014.16,0,9250.8,6718.44,11/18/16,8:29,8953.54,2668.78,1,2256.14,5842.34,0,10035.47,8449.42,11/19/16,8:14,9653.04,,,,7503.65,,,8404.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,control,25,B,11/1/16,,,0,,11/6/16,5,,,,1,11/9/16,T6,11/13/16,T13,11/17/16,T17,13405.28,,,,,0,,,,0,10:47,89.38,679.1,484.41,11/6/2016,4:17,105.12,4.68,1,594.34,428.08,0,2197.22,592.84,11/7/16,10:52,222.43,1,33.28,1851.73,463.65,0,592.94,432.78,11/7/16,5:22,276.65,21.45,1,437.61,360.98,0,1282.02,573.94,11/8/16,10:08,283.35,15.3,1,1106.83,451.15,0,774.59,597.63,11/8/2016,4:12,277.52,0,0,712.35,536.62,0,1499.47,1602.19,11/9/16,9:42,404.72,19.52,1,1184.78,1449.52,0,1832.31,1959.17,11/9/16,3:43,511.56,25.94,1,1622.79,1897.94,0,1621.31,2434.73,11/10/16,9:08,1036.86,140.56,1,784.58,2269.26,0,1362.58,1919.05,11/10/16,3:39,1280.88,101.78,1,921.16,1850.13,0,1583.61,2683.08,11/11/16,9:24,1940.57,334.83,1,353.63,2482.62,0,1899.06,1090.04,11/11/16,2:55,1872.61,91.19,1,1756.12,1012.53,0,3956.7,2316.68,11/12/16,10:05,1856.33,0,0,3635.14,2026.38,0,4305.13,2692.12,11/13/16,9:33,2547.9,83.71,1,2994.45,2251.81,0,8449.91,3489.02,11/14/16,11:27,5749.94,1048.2,1,3563.98,3040.88,0,11358.27,6104.51,11/15/16,11:05,9328.84,3603.77,1,3259.62,5683.05,0,12852.89,9335.74,11/16/16,9:46,12896.22,4623.34,1,3629.11,8920.05,0,10942.09,9687.12,11/17/16,8:29,13405.28,,,,9014.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,control,25,B,11/1/16,,,0,,11/6/16,5,,,,1,11/9/16,T6,11/13/16,T13,11/17/16,T17,10471.46,,,,,0,,,,0,10:49,63.09,716.74,484.41,11/6/2016,4:21,74.1,3.5,1,632.18,428.08,0,2221.28,592.84,11/7/16,10:54,162.26,1,27.58,1923.39,463.65,0,1073.22,432.78,11/7/16,5:01,204.67,15.91,1,923.49,360.98,0,1092.25,573.94,11/8/16,10:15,226.18,31.82,1,871.62,451.15,0,624.66,597.63,11/8/2016,4:50,222.74,0,0,534.94,536.62,0,1611.59,1602.19,11/9/16,10:04,305.82,17.55,1,1344.58,1449.52,,1086.37,1959.17,11/9/16,3:28,385.7,15.72,1,926.25,1897.94,0,2609.54,2434.73,11/10/16,9:21,773.6,116.18,1,1924.2,2269.26,0,752.36,1919.05,11/10/16,3:48,888.79,45.83,1,500.51,1850.13,0,1161.93,2683.08,11/11/16,9:17,1449.81,229.82,1,155.25,2482.62,0,3322.28,1090.04,11/11/16,2:42,1502.45,110.43,1,3019.72,1012.53,0,5771.65,2316.68,11/12/16,10:21,1459.43,19.42,1,5419.28,2026.38,0,7304.73,2692.12,11/13/16,9:26,1844.82,84.07,1,6013.2,2251.81,0,8585.41,3489.02,11/14/16,11:30,4219.41,797.07,1,4749.98,3040.88,0,8217.71,6104.51,11/15/16,11:02,7285.28,1687.18,1,2609.32,5683.05,0,10240.23,9335.74,11/16/16,9:51,10728.34,3897.27,1,1690.72,8920.05,0,8928.22,9687.12,11/17/16,8:44,10471.46,,,,9014.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,para,25,B,11/1/16,,,0,1,11/6/16,5,11/6/16,11:23,1,1,11/11/16,T10,11/16/16,T16,,,,11/20/16,T20,5,0,119,118,1,16,135,10:50,66.1,747.59,484.41,11/6/2016,4:14,78.84,3.62,1,669.43,428.08,0,1168.54,592.84,11/7/16,11:04,122.96,1,13.06,955.22,463.65,0,1117.83,432.78,11/7/16,4:56,137.95,4.71,1,1018.4,360.98,0,939.96,573.94,11/8/16,9:40,156.55,11.12,1,761.01,451.15,0,784.88,597.63,11/8/2016,4:03,168.13,2.17,1,693.37,536.62,0,1770.21,1602.19,11/9/16,9:53,236.02,24.99,1,1510.1,1449.52,0,651.9,1959.17,11/9/16,3:41,270.12,11.31,1,552.95,1897.94,0,2181.61,2434.73,11/10/16,9:15,306.03,23.13,1,1950.83,2269.26,0,1079.81,1919.05,11/10/16,3:54,304.73,0,0,1007.55,1850.13,0,1550,2683.08,11/11/16,9:31,369.52,10.37,1,1284.38,2482.62,0,2345.41,1090.04,11/11/16,3:01,425.84,11.27,1,2165.97,1012.53,0,1824.23,2316.68,11/12/16,10:36,819.41,94.01,1,1013.65,2026.38,0,3415.54,2692.12,11/13/16,9:21,1557.45,227.76,1,1964.75,2251.81,0,8070.52,3489.02,11/14/16,11:22,2102.38,418.94,1,6506.32,3040.88,0,5330.42,6104.51,11/15/16,10:53,2060.32,19.74,1,4979.34,5683.05,0,7569.12,9335.74,11/16/16,9:17,2371.01,24.92,1,6776.27,8920.05,0,7776.91,9687.12,11/17/16,8:45,3627.93,308.22,1,5756.77,9014.16,0,7057.51,6718.44,11/18/16,8:26,5025.93,266.64,1,4287.47,5842.34,0,9102.46,8449.42,11/19/16,8:16,5432.79,283.63,1,7693.28,7503.65,0,5654.52,8404.14,11/20/16,7:59,,,,,7707.41,7:59,,9205.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,para,25,B,11/1/16,,,0,1,11/6/16,5,11/6/16,11:20,1,1,11/11/16,T11,,,,,,11/18/16,T18,4,0,101,101,0,8,109,10:53,54.99,800.13,484.41,11/6/2016,4:07,54.26,0,0,708.41,428.08,0,911.06,592.84,11/7/16,10:59,89.42,1,9.25,656.27,463.65,0,575.25,432.78,11/7/16,5:20,104.36,5.85,1,472.53,360.98,0,839.42,573.94,11/8/16,10:02,119.8,15.1,1,590.35,451.15,0,552.74,597.63,11/8/2016,4:27,134.43,3.22,1,445.84,536.62,0,1620.93,1602.19,11/9/16,9:44,188.29,17.77,1,1325.56,1449.52,0,1609.97,1959.17,11/9/16,3:46,221.69,11.65,1,1487.75,1897.94,0,2009.76,2434.73,11/10/16,9:09,341.15,49.99,1,1637.91,2269.26,0,1050.27,1919.05,11/10/16,3:58,327.3,11.82,1,967.81,1850.13,0,929.19,2683.08,11/11/16,9:45,324.37,0,0,736.31,2482.62,0,630.68,1090.04,11/11/16,3:09,301.35,0,0,525.63,1012.53,0,1355.66,2316.68,11/12/16,10:28,476.2,28.16,1,819.29,2026.38,0,4400.49,2692.12,11/13/16,9:04,863.77,78.87,1,3393.51,2251.81,0,9636.25,3489.02,11/14/16,10:23,1369.6,161.82,1,8309.61,3040.88,0,8048.31,6104.51,11/15/16,10:18,1939.91,152.04,1,6474.75,5683.05,0,7955.98,9335.74,11/16/16,9:26,2467.18,166.76,1,6710.74,8920.05,0,7795.41,9687.12,11/17/16,8:41,2462.94,130.62,1,7138.71,9014.16,0,6658.22,6718.44,11/18/16,8:10,,,,,5842.34,,,8449.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,para,25,B,11/1/16,,,0,1,11/6/16,5,11/6/16,11:19,1,1,11/10/16,T8,11/17/16,T17,,,,11/22/16,T22,5,0,141,102,39,36,177,10:54,97.78,685.44,484.41,11/6/2016,4:10,94.55,1.02,1,609.37,428.08,0,888.09,592.84,11/7/16,11:15,146.67,1,13.62,664.41,463.65,0,1104.26,432.78,11/7/16,4:51,141.57,0.89,1,1035.14,360.98,0,1237.61,573.94,11/8/16,9:58,162.1,15.43,1,996.76,451.15,0,418.01,597.63,11/8/2016,4:07,163.17,0,0,358.82,536.62,0,1682.02,1602.19,11/9/16,9:45,159.84,0,0,1524.41,1449.52,0,1544.41,1959.17,11/9/16,3:44,158.74,0,0,1477.83,1897.94,0,1924.53,2434.73,11/10/16,9:26,142.89,1.28,1,1780.57,2269.26,0,648.36,1919.05,11/10/16,3:43,159.64,3.86,1,557.51,1850.13,0,775.07,2683.08,11/11/16,9:22,255.43,29.17,1,465.08,2482.62,0,1439.99,1090.04,11/11/16,2:57,295.21,11.86,1,1293.16,1012.53,0,1587.47,2316.68,11/12/16,10:40,324.21,3.45,1,1246.39,2026.38,0,3379.32,2692.12,11/13/16,9:29,305.41,0,0,2920.69,2251.81,0,8712.1,3489.02,11/14/16,11:16,584.66,60.04,1,7802.15,3040.88,0,3962.21,6104.51,11/15/16,10:33,849.02,53.36,1,3259.38,5683.05,0,6901.3,9335.74,11/16/16,9:38,875.31,29.02,1,6414.41,8920.05,0,6094.86,9687.12,11/17/16,8:32,1053.54,29.29,1,5424.01,9014.16,0,5311.09,6718.44,11/18/16,8:42,1897.24,227.39,1,3734.21,5842.34,0,8029.93,8449.42,11/19/16,8:12,2772.01,221.24,1,5758.25,7503.65,0,8415.31,8404.14,11/20/16,8:07,3864.35,317.4,1,5849.29,7707.41,0,7353.05,9205.3,11/21/16,10:20,3917.57,513.22,1,5626.81,8909.49,0,11185.74,11276,11/22/16,7:56,,,,,10714.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,para,25,B,11/1/16,,,1,,11/6/16,5,11/6/16,11:18,1,1,,,,,,,,,,,,0,,,,0,10:56,63.94,792.94,484.41,11/6/2016,4:12,68.61,2.29,1,693.51,428.08,0,840.37,592.84,11/7/16,11:10,129.97,1,12.24,614.95,463.65,0,1086.55,432.78,11/7/16,4:53,133.21,7.85,1,1000.75,360.98,0,1344.54,573.94,11/8/16,9:56,132.12,2.17,1,1196.75,451.15,0,539.35,597.63,11/8/2016,4:17,144.82,2.57,0,449.08,536.62,0,1300.6,1602.19,11/9/16,10:11,186.44,20.25,1,1063.08,1449.52,1,,,11/9/16,,,,,,1897.94,,,2434.73,11/10/16,,,,,,2269.26,,,1919.05,11/10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2251.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,para,25,B,11/1/16,,,0,1,11/6/16,5,11/6/16,11:14,1,1,11/10/16,T8,11/14/16,T14,,,,11/18/16,T18,5,0,100,100,0,1,101,10:59,73.22,471.3,484.41,11/6/2016,3:52,69.94,0.86,1,415.18,428.08,0,882.11,592.84,11/7/16,10:47,112.47,1,12.73,679.12,463.65,0,409.83,432.78,11/7/16,5:26,132.94,5.26,1,311.43,360.98,0,899.97,573.94,11/8/16,10:24,198.67,24.51,1,660.96,451.15,0,572.12,597.63,11/8/2016,4:56,216.33,8.73,1,478.42,536.62,0,995.44,1602.19,11/9/16,9:59,207.57,3.72,1,872.69,1449.52,0,429.69,1959.17,11/9/16,3:34,205.96,0,0,382.72,1897.94,0,2118.8,2434.73,11/10/16,9:12,297.1,18.49,1,1843.27,2269.26,0,912.22,1919.05,11/10/16,3:56,373.61,18.66,1,736.19,1850.13,0,1388.98,2683.08,11/11/16,9:25,660.75,98.58,1,819.91,2482.62,0,1776.81,1090.04,11/11/16,3:13,781.38,54.26,1,1466.3,1012.53,0,2003.09,2316.68,11/12/16,10:23,1347.88,210.55,1,901.58,2026.38,0,4503.34,2692.12,11/13/16,9:12,1337.29,106.33,1,3931.1,2251.81,0,8129.15,3489.02,11/14/16,10:07,1526.11,11.01,1,7341.57,3040.88,0,9447.09,6104.51,11/15/16,10:20,2099.4,158.81,1,8006.32,5683.05,0,7893.95,9335.74,11/16/16,9:41,3531.03,395.94,1,5553.95,8920.05,0,8469.86,9687.12,11/17/16,8:46,4211.45,403.65,1,6810.29,9014.16,0,7564.65,6718.44,11/18/16,8:20,,,,,5842.34,,,8449.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,para,25,B,11/1/16,,,0,1,11/6/16,5,11/6/16,11:13,1,1,11/10/16,T8,11/15/16,T15,,,,11/20/16,T20,5,1,186,176,10,23,209,11:01,50.35,536.22,484.41,11/6/2016,3:55,54.56,2.39,1,458.91,428.08,0,934.6,592.84,11/7/16,10:44,90.48,1,11.89,705.26,463.65,0,492.71,432.78,11/7/16,5:29,106.76,3.62,1,384.49,360.98,0,1161.72,573.94,11/8/16,10:22,144.17,16.21,1,929.18,451.15,0,777.21,597.63,11/8/2016,5:01,159.74,5.23,1,670.16,536.62,0,1016.28,1602.19,11/9/16,9:56,170.25,11.59,1,846.41,1449.52,0,557.31,1959.17,11/9/16,3:37,169.14,0,0,505.17,1897.94,0,2327.82,2434.73,11/10/16,9:17,173.39,2.17,1,2131.86,2269.26,0,1068.75,1919.05,11/10/16,3:52,214.52,12.93,1,929.08,1850.13,0,1193.96,2683.08,11/11/16,9:35,290.3,10.76,1,914.07,2482.62,0,1926.32,1090.04,11/11/16,2:59,337.68,13.5,1,1746.73,1012.53,0,2381.8,2316.68,11/12/16,10:38,604,96.47,1,1650.38,2026.38,0,4260.77,2692.12,11/13/16,9:17,1311.15,122.38,1,3098.05,2251.81,0,8969.19,3489.02,11/14/16,11:25,1241.21,68.97,1,8185.57,3040.88,0,6059.5,6104.51,11/15/16,10:47,1421.54,22.4,1,5430.81,5683.05,0,4066.65,9335.74,11/16/16,9:15,2537.56,152.59,1,2354.7,8920.05,0,10231.22,9687.12,11/17/16,8:52,3695.51,299.73,1,8282.13,9014.16,0,7094.71,6718.44,11/18/16,8:10,5109.16,330.05,1,3766.79,5842.34,0,9229.15,8449.42,11/19/16,8:09,5158.44,458.53,1,8021.39,7503.65,0,9815.84,8404.14,11/20/16,8:07,,,,,7707.41,,,9205.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
